Model,Make (Organization)
OrpyxSI,Orpyx
Orthelligent Knee,OPED Medical
Orthelligent Pro,OPED Medical
OrtoApp,Alexandra Institute
Oscar 2,SunTech Medical
OT Bioelettronica (Model Unspecified),OT Bioelettronica
Otoscope – USB Camera,Doctorgram
Oura Ring ,Oura Health
Oura Ring Gen 4,Oura Health
OutSense,OutSense
Ovia App,Ovia Health
OVIEW Sperm Tester,INTIN
OvuCore,viO HealthTech
OvuFirst,viO HealthTech
OvulaRing,OvulaRing
OvuSense,viO HealthTech
Owkin Connect,Owkin
Owlet Dream Sock,OwletCare
Owlet Pregnancy Band,OwletCare
Owlytic's Remote Therapeutic Monitoring (RTM) Solution,Owlytics Healthcare
Oxalert EPO,Med-botics
Oxevision ,Oxehealth
Oxistar,Biologix
Oxitone 1000,Oxitone Medical
Oxitone 1000M,Oxitone Medical
Oxiwear,Oxiwear
Oxxiom Rx,True Wearables
Oxy-2,Helyxon
Oxycon Mobile metabolic system,CareFusion
Oxylink,Wellue
Oxymon MKIII,Artinis
OxyWatch C18 Pulse Oximeter,ChoiceMMed
P-TRAK Ultrafine Particle Counter Model 8525,TSI Incorporated
P1vital Facial Expression Recognition Task (FERT),P1vital Products Ltd
P20B,Foracare
PABLO,Tyromotion
Pace 2,Coros
Pacer,Polar
Pacer App,Pacer Health
Pacer Pro,Polar
PachPen,Keeler
PAI Health Score App,PAI Health
PainChek Universal,PainChek
PAL Accelerometer (Model Unspecified),PAL Technologies
PalmSAT 2500 Series,Nonin Medical
PalmScan VF2000 G2,Micro Medical Devices
PAM Activity Monitor (Model Unspecified),PAM
PAM-RL,Philips
PAMSys,BioSensics
PAMSys Fall,BioSensics
PAMSYs ULM,BioSensics
PanicMechanic,PanicMechanic
Panoramic Wearable,Panoramic Digital Health
Park AI,Oxford Computer Consultants
Parkinson's Smartwatch,Parkinson Smartwatch
Parky,h2o therapeutics
PatchD,PatchD Medical
Path,"Fossil,Misfit (now Fossil)"
Patient Status Engine,Isansys Lifecare
Pavlok 2,Pavlok
PC-60F,Creative Medical
PCA 500,QT Medical
PCP-USB,"Riester (now Halma),Halma"
PD Mobile Application,Roche
PD-Watch,Biomedical Lab
PDMonitor,PD Neurotechnology
Pebble Smartwatch,Pebble
Pedar,Novel Electronics
Pedoscan,DIERS
Peek Acuity,Peek Vision
Peek Acuity PRO,Peek Vision
Peek Retina,Peek Vision
Perception Neuron series,Noitom
Perception Neuron Studio Gloves,Noitom
Performa Glucose Meter,"Accu-Chek,Roche"
Performa II Glucose Meter,"Accu-Chek,Roche"
Performance Monitor,Bodi Metrics
Personal EKG Monitor,Wellue
Personalized Physiology Analytics Engine,PhysIQ
Persyst 14,Persyst Development Corporation
PF 100 ,Microlife
PF07 Enduro,PhysioFlow
Pharmchek Sweat Patch,PharmChem
Phase,"Fossil,Misfit (now Fossil)"
Philips (Model Unspecified),Philips
Philips Actigraphy (Model Unspecified),Philips
Philips Wrist-Worn Tri-axial Accelerometer and Photoplethysmographer (Model Unspecified),Philips
Phlex EDGE,Phlex
Phoenix,Sword Health
Phoenix Smart Watch,Health Gauge
PhoneStudy Mobile Application,PhoneStudy
Phybrata,PROTXX Inc.
Phyphox,Phyphox
PhysiAware,University of Minnesota
Physics Toolbox Suite,Vieyra Software
Physilog (Model Unspecified),"MindMaze,Gait Up (now MindMaze)"
Physilog 4 10D Silver,"MindMaze,Gait Up (now MindMaze)"
Physilog4,"MindMaze,Gait Up (now MindMaze)"
Physilog5,"MindMaze,Gait Up (now MindMaze)"
Physilog6 (P6),"MindMaze,Gait Up (now MindMaze)"
Physiotrace Multi,NimbleHeart
Physiotrace Smart,NimbleHeart
PhysioWave Cardiovascular Analyzer,ATCOR Medical
PhysIQ Heart Rhythm and Respiration Module (HRRM),PhysIQ
piCO (Model Unspecified),Bedfont Scientific
piCO Smokerlyzer ,Bedfont Scientific
Picterus,Picterus
Pictor Plus,Volk Optical
Pictor Prestige,Volk Optical
PictZar,PictZar
PigPug EEG Headset,PigPug Health
PiKo-1,"KoKo,nSpire (now KoKo)"
Pill Connect Smart Dispenser,Pill Connect
Pill Dispenser,MedMinder
Pillbox,Tricella
Pillcam Crohn's Capsule,Medtronic
PillCam SB3,Medtronic
PillDrill Kit,PillDrill
Pillow,Neybox Digital
Pilloxa Smart Pillbox,Pilloxa
Pillpresso,Pillpresso
Pillsy,"Pillsy (now Optimize Health),Optimize Health"
PillTrack,Athelas
pinpointIQ,PhysIQ
PIVOT,TuringSense
Pivot (CO Breath Sensor),Carrot
Pivot App,Carrot
Pixel 4,Google
Pixel Watch,Google
PKG® Watch,Global Kinetics Corporation
PlantaPress,Thorsis Technologies
Plantiga Smart Insole ,Plantiga
Platinum Blood Pressure Monitor (BP5450),Omron Healthcare
Playermaker,Playermaker
PLR-200 Pupillometer,NeurOptics
PLR-3000 Pupillometer,NeurOptics
Plus 4G,Watchseniors
Plusoptix Vision Screener,Plusoptix
PMD Spirometer (Model Unspecified),PMD Healthcare (now Remetric Health)
Pneumoscope,Onescope
PNOE,PNOE
PO-300,Novidion
Pocket Pedometer (HJ-720ITC),Omron Healthcare
PocketECG,PocketECG
PocketECG CRS,PocketECG
Pod 3 Mattress (includes Pod 3 Max),Eight Sleep
PodoSmart,Digitsole
PodoTemp,Netherlands Enterprise Agency (RVO)
Pogo Automatic,Intuity Medical
PointCheck,Leuko Labs
Polar (Model Unspecified),Polar
Polar Beat,Polar
Polar HR Belt (Model Unspecified),Polar
Polar Team Pro,Polar
Polaris Lyra,Northern Digital Inc.
Polso Watch,ChroniSense Medical
Polymonitor Device,ATLASense Biomed
Popit,Popit
POpmetre,Axelife
PopoApp,Indra Italia
Portabiles (Model Unspecified),Portabiles Health Care Technologies
Portable ECG,ECG for Everybody
Portable EKG Monitor with OLED screen,Wellue
PortaLite,Artinis
PortaMon,Artinis
Porti,TMSi
PostureTracker,Gokhale Method
POWERbreathe K2,POWERbreathe
POWERbreathe K3,POWERbreathe
POWERbreathe K4,POWERbreathe
POWERbreathe K5,POWERbreathe
PowerWatch Series 2,Matrix Industries
Praat,Praat
Prana,Prana Tech
Premium V10 BLE,Foracare
Premium Wireless Blood Pressure Monitor (UA-767PBT),A&D
Premium Wireless BP Monitor (UA-651BLE),A&D
Prescribe Fit ,Prescribe Fit
Preventicus Heartbeats,Preventicus Gmbh
Prime Glucose Meter,ReliOn
PRIME Remote Monitoring,Rinicare
Prime X Gloves,Manus
PRIORI app,University of Michigan
Prism,Prism Labs
Priya Sensor,Prima-Temp
Prizma,G Medical Innovations
Pro Camera,Nanit
Pro Pod 6,Trackershop
Pro Stethoscope,eKuore
PRO-Diary,CamNtech
PrO2,Design Net Technical Products
ProAct Platform,ProACT
ProAir Digihaler,Teva Pharmaceuticals
Profusa Sensor,Profusa
ProMove MINI,Inertia Technology B.V.
Proov Complete Testing System,Proov
Propeller Sensor,Propeller Health
Proteus Personal Monitor,Proteus Digital Health
Protxx,PROTXX Inc.
proudP: Everyday Uroflow,Soundable
ProVista Care (Model Unspecified),ProVista
Provizio SEM Scanner,Bruin Biometrics
Psorcast,Sage Bionetworks
PsyPad,PsyPad
pTrac,TrueTrack
PUFP C200,Enmont
PulmoScan,Cognita Labs
Pulox PO-210B,Novidion
Pulse Activity Tracker,Withings
Pulse HR,Withings
Pulse O2,Withings
Pulse Sensor,World Famous Electronics
PulseNmore Ultrasound,Pulsenmore
PulseOn,PulseOn
PulsePen,DiaTecne
Pulsox-300i,Konica Minolta
PUP Socks,Palarum
Pupil Core,Pupil Labs
Pupil Eye Tracking Glasses (Model Unspecified),Pupil Labs
Pupil Invisible,Pupil Labs
PupilScreen,University of Washington
PureTest,SHOEBOX
PurpleAir Classic,PurpleAir
Push,"PUSH (now Whoop),Whoop"
PyXy,Sanolla
Q Curve,Affectiva (Now Smart Eye)
Q Sensor,"Affectiva (Now Smart Eye),Smart Eye"
Q-Band Q-69HR,Mobile Action Technologies
Q-pad,Qvin
Q-SENS,Proactive Diagnostics
Q-Walk,QuicklyPro 
Q'z TAG,Sumitomo Electric
QardioArm,Qardio
QardioBase 2,Qardio
QardioCore,Qardio
QP Lite Air Quality Monitor,Smart Air
QStarz (Model Unspecified),QStarz
QSun,Comfable
QTUG,"Linus Health,Kinesis (now Linus Health)"
Quadscan 4000,Bodystat
Qualisys Motion Capture Camera (Model Unspecified),Qualisys
QuantiMotion,Bonsai Systems
Quantiq,Quantiq Healthcare
Quantum IV,RJL Systems
Quantum Metagloves,Manus
Quatix 3,Garmin
Quatix 5,Garmin
Quest,Meta
Quest 2,Meta
Quest Pro,Meta
Quest Temp Sitter (model QPT01744),Quest Products
Quest Watch,Suunto
R.Test 4,Novacor
Rad-97,Masimo
RADAR-base pRMT,The Hyve
RadBeacon Dot,Radius Networks
RadiHeart,RadiRad
Radius PPG,Masimo
Radius Tº,Masimo
Radius XR,Radius XR
Radius-7,Masimo
RAE App,RAE Health
Ranger Portable Air Quality Monitor,Aeroqual
RAPAEL Smart Glove,Neofect
Rash ID,Appsmiths LLC
Ray,"Fossil,Misfit (now Fossil)"
RC3 GPS,Polar
RCX3 Heart Rate Monitor,Polar
RCX5 Heart Rate Monitor10,Polar
RD2007,Teviso Sensor Technologies
Re:Balans,Mode Sensors AS
re:Vive 2.0,Heru
ReactDx HST (Model Unspecified),ReactDx
Readiband,Fatigue Science
ReadiOne,Fatigue Science
RealSense Depth Camera D435,Intel
Receptiviti,Receptiviti
Redenlab,RedenLab
Redi Health Platform,Redi Health
Redmi Watch 3,Xiaomi
Refit Patch U9,Solmitech
ReGo Sensor Insoles,Moticon Science
Rehabilitation Glove,Cynteract
RehaGait,Hasomed
RehAtt Diagnostics,Brain Stimulation
RELA Armband Heart Rate Monitor,Wearme
Reliev,Reliev
ReliOn BP200 (HEM-741CRELN4),Omron Healthcare
ReliOn BP300W (6021RELN2),Omron Healthcare
Remo,Morecognition
Remosense,Telebionix
Remote Dielectric Sensing Wearable System (ReDS Wearable Vest),Sensible Medical Innovations
Rena-reader,Renalyse
Renpho Smart Scale (Model Unspecified) ,Renpho
Reperio Health,Reperio Health
ResApp,"Pfizer,ResApp Health"
Rescue Time Professional,RescueTime
ResearchKit,Apple
ResGuard Med,Resmonics
Resonea,Resonea
Respa,Zansors
RESPeRATE,2breathe Technologies
RespiBan BLE,Plux Wireless Biosignals S.A
RespiHeart,RespiHeart
RespirAI,RespirAI Medical
RespiraSense,PMD Solutions
Respmeter,Altair Medical
REST Device,Full Sleep by Koko Labs
RestEaze™,Tanzen Medical 
RetinaRisk iClinic,RetinaRisk
Retinaute,BioSerenity
RHRAD,Stanford University
Rhythm,Scosche Industries
Rhythm+,Scosche Industries
Rhythm24,Scosche Industries
RhythmAnalytics,Biofourmis
Ri-Cardio,Rudolf Riester GmbH
Ria Health Alcohol Reduction,Ria Health
Riablo,"CoRehab (Acquired by Euleria Health),Euleria Health"
Ridgevue Vision Tests,Ridgevue
RightEye Functional Vision EyeQ,RightEye
RightEye Vision System,RightEye
RigiScan Plus,GOTOP Medical
Rimidi Platform,Rimidi
RingConn Smart Ring,RingConn
Ringly,Ringly
Rithmi App,Rithmi
Rithmi Heart Monitor,Rithmi
RITMIA,Heart Sentinel
RlapsRisk BC,Owkin
RM42,Innokas Medical
Roga Life Device,Roga
Rokoko Smartsuit Pro,Rokoko
Rook,Rook
RootiRx,Rooti Labs
Rover ,Rover Health
Roxie Health,Roxie Health
ROZINN RZ153+,ScottCare
RPlidar A2,SLAMTEC
RPM-BP100 Blood Pressure Monitor,Welch Allyn
RPM-Scale100 Weight Scale,Welch Allyn
RS7 Intelli IT (HEM-6232T-E),Omron Healthcare
RS200 Heart Rate Monitor,Polar
RS300X Heart Rate Monitor,Polar
RS400 Heart Rate Monitor,Polar
RS800 Heart Rate Monitor,Polar
RS800CX Heart Rate Monitor,Polar
RSPECR,BioPac Systems Inc.
RSQ Motion,RSQ Technologies
RT3,Stayhealthy
RTM Acoustic Ventilation Monitoring Device,RTM Vital Signs
Run Smart Insoles,Nurvv
Rune Labs Platform,Rune Labs
RunKeeper,ASICS Digital
Runner 2,TomTom
Runner 2 Cardio,TomTom
Runner 3,TomTom
Runner 3 Cardio,TomTom
Running Dynamics Pod (RDP),Garmin
RunScribe Plus,RunScribe
Runtastic App ,Adidas
Ruputer,Seiko
RX-1 mini,Vivaquant
RXCap,RxCap
RxPense Hub,Medipense
S-Patch Ex,Wellysis
S+,ResMed
S3,Hesvit
S100,Styku
S410 Heart Rate Monitor,Polar
S510 Heart Rate Monitor,Polar
S520 Heart Rate Monitor,Polar
S610 Heart Rate Monitor,Polar
S610i Heart Rate Monitor,Polar
S625X Heart Rate Monitor,Polar
S710 Heart Rate Monitor,Polar
S710i Heart Rate Monitor,Polar
S720i Heart Rate Monitor,Polar
S725 Heart Rate Monitor,Polar
S725X Heart Rate Monitor,Polar
S810i Heart Rate Monitor,Polar
Safe 'n' Spray,Nemera
SafeTracks Prime Mobile GPS Device,SafeTracks GPS Canada
Saga 32+/64+/128+,TMSi
SageMotion,SageMotion
SALTED Smart Insole,SALTED
SALVE,The University of Manchester
SAMi-3,HiPass Design
Samsung Activity Tracker (Model Unspecified),Samsung
Samsung Health,Samsung
Samsung Smartphone (Model Unspecified),Samsung
Samsung Smartwatch (Model Unspecified),Samsung
Sana,Sana Health
Santamedical Generation 2 Fingertip Pulse Oximeter,Gurin
Sapphire,"APDM (now Clario),Clario,ERT Health (now Clario)"
Savvy ECG,Jozef Stefan Institute
SBV2 Readiband,Fatigue Science
SBV4 Readiband,Fatigue Science
SC-240,Tanita
SC-330,Tanita
SC-331S Body Composition Analyzer,Tanita
ScaAI,SmartCardia
ScanBox Pro,Dental Monitoring
Scanoma,Scanoma
ScanWatch,Withings
ScanWatch 2,Withings
ScanWatch Horizon,Withings
ScanWatch Light,Withings
Scarletred Vision,Scarletred
SCN4ALL,E-Med4All Europe Kft.
Scoliotrack,ScolioLife
SCONE Spinal Cord Neuromodulator,SpineX Inc.
Scout,"Healthy.io,Scanadu (now Healthy.io)"
SCRAM Continuous Alcohol Monitoring,SCRAM Systems
SE 80,Beurer
SE122,Oregon Scientific
Sebumeter,Courage + Khazaka Electronic
Seca 284,seca
SEEQ,Medtronic
SEER 12,GE  Healthcare
Seer 1000,GE  Healthcare
Seer Home,Seer Medical
SEER Lite,GE  Healthcare
Seer Sense,Seer Medical
SeizAlarm,SeizAlarm
SELENA+,EyRIS
SELF,Zensorium
Selftraining UMH,AppAndAbout
Sengled New LED,Sengled
Sens Motion,Sens
SENS-U,Novioscan
Sense,Fitbit
Sense 2,Fitbit
Sense Wireless Wrist Blood Pressure Monitor (BP7),iHealth
Sensedge,Kaiterra
Sensedge Mini,Kaiterra
SenseDoc,Mobysens
SenseGuard,NanoVation
SenseWear Armband,"Jawbone,BodyMedia (now Jawbone)"
SenseWear Mini Armband,"Jawbone,BodyMedia (now Jawbone)"
Sensewear Pro Armband,"BodyMedia (now Jawbone),Jawbone"
SenseWear Pro2,"Jawbone,BodyMedia (now Jawbone)"
SenseWear Pro3,"Jawbone,BodyMedia (now Jawbone)"
Sensio,Sensio Air
Sensium,Sensium Healthcare
Sensor Dot,Byteflies
Sensor Insoles (Model Unspecified),Moticon Science
Sensorcon,Sensorcon - Sensing Solutions by Molex
Sensoria Core,Sensoria Health
Sensoria Fitness Smart Bra,Sensoria Health
Sensoria Smart Band,Sensoria Health
Sensorial XR,NeuroDigital Technologies
SensoRING SR200,Sensogram Technologies
SensorLog,SensorLog
SensoSCAN S340,Sensogram Technologies
Sensus,University of Virginia
Sensyu,Thalman Health
Senti,Senti
SenzeBand 2,Neeuro
SERENE Platform,STMicroelectronics
Serenity Eyewear,VirtualLab 
Serenno System,Serenno Medical
Series 500 Portable Air Quality Monitor,Aeroqual
Sessantaquattro,OT Bioelettronica
SEVEN PLUS,Dexcom
Shade UV Sensor,Shade
Shape,Atlas Wearables
Shapescale,Shape Labs Inc.
Shimmer 2R,Shimmer Sensing
Shimmer Accelerometer (Model Unspecified),Shimmer Sensing
Shimmer Gyroscope (Model Unspecified),Shimmer Sensing
Shimmer3 200g IMU,Shimmer Sensing
Shimmer3 Ebio,Shimmer Sensing
Shimmer3 ECG/EMG,Shimmer Sensing
Shimmer3 GSR+,Shimmer Sensing
Shimmer3 IMU,Shimmer Sensing
Shine,"Fossil,Misfit (now Fossil)"
Shine 2,"Fossil,Misfit (now Fossil)"
Shine 2 Swimmer's Edition,"Fossil,Misfit (now Fossil)"
SHOEBOX Audiometry System (Unspecified),SHOEBOX
Show Motion,NCS Company
SIBIONICS GS1,SiBionics
Sidekick Health,Sidekick Health
Siesta 802 PSG,Compumedics
SIFGLUCO-3.2 ,SIFSOF
SIGNAL,Topcon Healthcare
Signos CGM,Signos
Silhouette,ARANZ Medical
SiliconCoach,The Tarn Group
Silmee W20,TDK Corporation
Silmee W22,TDK Corporation
Silver @ Home,RF TRACK
Silver Blood Pressure Monitor (BP5250),Omron Healthcare
Silverleaf,Silverleaf Medical Science
Simband,Samsung
Simband 2,Samsung
SIMPill,Clinical Technology Advisors
SimpleMed,Vaica
SimpleSENSE (NanoSense),Nanowear
Siren Socks,Siren
Siva,Siva Health
Sixty,Crux
Skeeper H1,SmartSound
Skeeper P1 ,SmartSound
Skeeper R1 ,SmartSound
Skeeper SM-300,SmartSound
Skiin Bio-Sensing Garment,Myant Health
Skin and Wound App,Swift Medical
Skin Track UV,La Roche Posay
Skinive App,Skinive
SkinScan,TeleSkin
SkinTracker Mobile App,University of California San Francisco
Skintronics (Model Unspecified),Skintronics
SkinVision App,SkinVision
Skulpt Scanner,Myolex
SKYN,BACtrack
SkyPad,OnSky Health
Sleep,Masimo
Sleep Analyzer,Withings
Sleep Cycle,NorthCube
Sleep Number Smart Bed (Model Unspecified),Sleep Number
Sleep O2,Viatom
Sleep Profiler,Advanced Brain Monitoring
Sleep Profiler PSG2,Advanced Brain Monitoring
Sleep Shepherd Blue,NeuroSky
Sleep Time,Azumio Inc.
Sleep Tracker (Dock Pro),Sleepme
Sleep++ App,Cross Forward Consulting
SLEEPade+,BrainU
SleepBot,Audiojoy Software
SleepDesign,"Omron Healthcare,ResMed"
SleepImage,SleepImage
SleepImage Ring,SleepImage
SleepIQ,Sleep Number
Sleepiz One+,Sleepiz
SleepMinder,"ResMed,BiancaMed (now ResMed)"
SleepScope,SleepWell
SleepScore Max,SleepScore Labs
SleepTuner,Beddr
SleepU Wrist Oxygen Monitor,Wellue
SleepUp Tracker Headband,SleepUp
SleepWatch,bodymatter
SleepWatch-O,Ambulatory Monitoring
SM2000,Pedometers USA
Smardii,Smardii
Smart Baby Monitor,Miku
Smart Birth Control Pill Case,Aavia
Smart Blood Pressure Monitor with EKG,Wellue
Smart Board,Neofect
Smart Body Analyzer Scale (WS-50),Withings
Smart Body Fat Scale,Wellue
Smart Body Scale (WBSO1),Withings
Smart Geiger Pro,Technonia
Smart Gx Bottle,Gatorade
Smart Health Bidet,Kanaria Life Sciences
Smart Mat,Podimetrics
Smart Nora,Smart Nora
Smart One,Medical International Research
Smart One Oxi ,Medical International Research
Smart Optometry Application,Smart Optometry
Smart Patch,"Alio,Graftworx (now Alio)"
Smart Peak Flow,Smart Asthma
Smart Pedometer,Striiv
Smart Pegboard,Neofect
Smart Pill Box,Cognitive Healthcare International
Smart Reminder,The Hong Kong Polytechnic University
Smart Scale Pro Max,ActoFit
Smart Skin,Xtrodes
Smart Sleep System,Lumi
Smart Sock v2.0,Sensoria Health
Smart System VR Headset,M&S Technologies
Smart Vital Max,GOQii
Smart Vital Ultra,GOQii
Smart Watch DM01,Buzud
Smart Watch G7,Buzud
Smart Wheel,Three Rivers Holdings
Smart Wireless Gluco-Monitoring System (BG5),iHealth
Smart-DX Evo,BTS Bioengineering
SmartBand SWR10,Sony
SmartBand SWR12,Sony
SmartBand SWR30,Sony
SmartBear,SMART BEAR
SmartCheck,Johnson & Johnson
smartcorCONTROL,24SENS
SmarTest Calprotectin,Preventis GmbH
Smartfones,mBrainTrain
Smartgloves,Rokoko
SMARTING mobi,mBrainTrain
Smarting Pro,mBrainTrain
SMARTING SLEEP,mBrainTrain
SmartMat,Podimetrics
Smartscale Lite,ActoFit
Smartscale Lite 2.0,ActoFit
Smartscale Prime,ActoFit
Smartscale Pro,ActoFit
Smartscope PRO,Optomed
SmartSleep Deep Sleep Headband,Philips
SmartTemp,Vicks
SmartWalk,Power Management Concepts
Smartwatch 2,Huawei Technologies
SmartWatch 3,Sony
Smartwatch DM02,Buzud
Smartwatcher,Smartwatcher Oy
SMI Eye Tracking Glasses,SensoMotoric Instruments
SmokeBeat,Somatix
Snap40,Snap40
SnapECG,Nanjing Xijian Information Technology Co
Snapshot NIR,Kent Imaging
SNOO Smart Sleeper,Happiest Baby
SnoreClock,SnoreClock
SnoreLab,SnoreLab
SocialBit,Devpost
Sociometric Solutions (Model Unspecified),"Humanyze,Sociometric Solutions (now Humanyze)"
SomaSleep,Somalytics
Somfit,Compumedics
Somnio,"ResMed,Mementor GmbH"
Somno-Art Device,PPRS Research
Somno-Art Software,PPRS Research
Somnofy,VitalThings
SOMNOmedics Polysomnography (Model Unspecified),SOMNOmedics
SomnoPose,Proximal Box
SomnoRing,Somnology
SOMNOscreen Plus,SOMNOmedics
SOMNOtouch (Model Unspecified),SOMNOmedics
SomnoTouch NIBP,SOMNOmedics
SOMNOtouch RESP,SOMNOmedics
Somnowatch,SOMNOmedics
SOMNOwatch Plus,SOMNOmedics
Somté PSG,Compumedics
Sona,Caeden
Sonaphi,Sonaphi
SONASURE,Quvium
Sonde Health (Model Unspecified) ,Sonde Health
Sonde Mental Fitness,Sonde Health
Sonde One,Sonde Health
Sonomat,Sonomedical
Sony SmartBand (Series Unspecified),Sony
Sony Smartwatch (Series Unspecified),Sony
Sound Blaster X-Fi,Creative Labs
Sound Life Sciences Software,"Google,Sound Life Sciences (now Google)"
Soundpeats Watch 1,Soundpeats
Soundpeats Watch 2 ,Soundpeats
Soundpeats Watch Pro 1,Soundpeats
SoundSport Pulse,Bose
SOZO,ImpediMed
Spacelabs ABPM (Model Unspecified),Spacelabs Healthcare
Spark,TomTom
Spark 3,TomTom
Spark 3 Cardio,TomTom
Spark Cardio,TomTom
SPARK Neuro,SPARK Neuro
Spartan Sport,Suunto
Spartan Sport HR/Sport HR Baro,Suunto
Spartan Ultra,Suunto
SPEAC System,Brain Sentinel
Speck,Airviz
SpectroPhon Biosensor,SpectroPhon
Speech Vitals – ALS,Aural Analytics
SpeechMark,SpeechMark
Speedo Shine,"Fossil,Misfit (now Fossil)"
Spencer Pill Dispenser ,Catalyst
SphygmoCor XCEL,ATCOR Medical
Spiden,Spiden
Spiderview,MicroPort
Spinal Cord Innovation in Pediatrics (SCIP),SpineX Inc.
Spiriva Respimat,Boehringer Ingelheim
Spiro Mobile 2,Ambisea
Spiro USB,CareFusion
"Spirobank II (Basic, Smart, Advanced) ",Medical International Research
Spirobank Oxi,Medical International Research
Spirobank Smart,Medical International Research
SpiroCall,University of Washington
SpiroClinic Pro,inofab health
Spirodoc,Medical International Research
Spiroedge,Spiroedge
Spirohome Personal,inofab health
Spiromagic,Spiromagic
SpiroNose,Breathomix
SpiroSonic AIR,Uscom
Spirostik,Geratherm Respiratory
Spirostik Blue,Geratherm Respiratory
SpiroTube,"Uscom,THOR Laboratories (now Uscom)"
SpiroTube Droid,Uscom
SplendoMonitor,SplendoHealth
Sport Smartwatch,Fossil
Sportband,Nike
Sportline (Series Unspecified),Sportline
Sports Sensor,Firstbeat Sports
Sproutling Smart Sleep,Fisher-Price
Spyder ECG,Web Biotechnology
Squegg – Digital Hand Grip Strengthener,Squegg
Stanford Visual Acuity Test,Stanford University
Stappone Insole,Stapp One
START (Screening Tools for Autism Risk using Technology) App,Sangath
STAT,STAT Health
Stat-On,Sense4Care
StayFree,Stay Free Apps
Steadys,Neurosoft
STEADYTEMP,SteadySense
Stealth System ECG recorder,Cardiac Insights
Steel,Withings
Steel HR,Withings
Steel HR Sport,Withings
Stella,Stella Wearables
Stelo,Dexcom
Step Counter - Pedometer,Leap Fitness
StepBet,WayBetter
StepUp,StepUp
StepUp Air ,StepUp Solutions
StepWatch,"Orthocare Innovations,Modus"
StepWatch (Version Unspecified),Modus
StepWatch 3,"Modus,Orthocare Innovations"
StepWatch 4,Modus
StepWatch 5,Modus
Stepwise,Progress Concepts
Stepz App,Bending Spoons
Steth IO,Steth IO
Stethee Pro,M3dicine
StethoMe,StethoMe
Stethoscope DES-I,Doctorgram
Stillaton,Stillaton
STMicroelectronics (Model Unspecified),STMicroelectronics
Stone,Spire Health
Stowood Visi Black Series,Stowood Scientific Instruments
Strados RESP,Strados Labs
Strava Running and Cycling App,Strava
Stride Sensor,Polar
Striiv Fusion,inKin
Strive MedTech,Strive MedTech
StrivePD,Rune Labs
Stroke Alarm,Uman Sense
Stroke Risk Analysis (SRA+),Apoplex Medical Technologies
Structure Sensor,XRPro LLC (Structure)
Stryd Footpod,Stryd
STT-IWS IMU,STT Systems
Study Watch,Verily
StudyMyTremor,StudyMyHealth
SturzApp,Lindera
SugarBeat,Nemaura Medical
Sunlight MiniOmni,BeamMed
Sunrise,Sunrise
Super Band,ActoFit
Supersapiens Watch,Supersapiens
SUPR-102,Yianda Electronics
Suralis,Saphenus Medical Technology
SurePulse VS,SurePulse Medical
SURF-TIDE,Stanford University
Surge,Fitbit
SurroSense Rx,Orpyx
Suunto 3 Fitness,Suunto
Suunto 5,Suunto
Suunto 9 Baro,Suunto
Suunto Ambit3 Peak with Heart Rate Belt,Suunto
Suunto Core,Suunto
Suunto Smart Sensor (Heart Rate Monitor),Suunto
Sway ,Sway Medical
SwayStar,Balance International Innovations GmbH
SWEATSENSE,EnLiSense
SWIFT Ray 1,Swift Medical
Syde Platform (previously ActiMyo),"Sysnav,i-motion"
Sylvee,Samay
Sylvee 1.0,Respira Labs
SynAmps RT Neuroscan,Compumedics
Sync Burn Fitness Band,Under Armour
Sync Calorie Activity Tracker,Under Armour
"Sync Distance Activity
  Tracker",Under Armour
Sync Elite Activity Tracker,Under Armour
Sync Fit Fitness Band,Under Armour
Sync GPS + HR Watch (M/W),Under Armour
Sync GPS Watch (M/W),Under Armour
Sync Steps Activity Tracker,Under Armour
Syne,Syne
SysToe,Atys Medical
T3 Multisport package,Suunto
T3c Watch,Suunto
T4 Heart Rate Monitor,Suunto
T6 Watch,Suunto
T31 Coded Transmitter,Polar
Tab S6 Lite,Samsung
Tactix,Garmin
Tactix 7 Pro,Garmin
Tactix Bravo,Garmin
tad,Intent Solutions
TalkBand B1,Huawei Technologies
TalkBand B2,Huawei Technologies
TalkBand B3,Huawei Technologies
TalkBand B6,Huawei Technologies
Tango Belt,ActiveProtective
Tanita (Model Unspecified),Tanita
Tanita AM-160,Tanita
Tanita BC-558,Tanita
Tanita BC-590BT,Tanita
Tanita BC-730F,Tanita
Tanita MC-580,Tanita
Tanita MC-780 MA,Tanita
Tanita MC-980U Plus,Tanita
TANITA RD-545 (InnerScan PRO),Tanita
TapCloud,TapCloud
TapCounter,QuantActions
TAS9,YKC
Tasso-M20,Tasso
Tasso-SST,Tasso
Tasso+,Tasso
TBF-300A,Tanita
TBF-400,Tanita
TBF-410,Tanita
TCC Cardiac ,University of New South Wales
TCC COVID Monitor,South Eastern Sydney Local Health District (SESLHD)
TCM5 FLEX ,Radiometer
TD-1035 Wearable Bluetooth Thermometer,TaiDoc
TD-1090 Temperature Chamber,TaiDoc
TD-1107 Ear Thermometer,TaiDoc
TD-1115 Forehead Thermometer,TaiDoc
TD-1241 Forehead Thermometer,TaiDoc
TD-1242 Forehead Thermometer,TaiDoc
TD-3124 Blood Pressure Monitor,TaiDoc
TD-3127 Blood Pressure Monitor,TaiDoc
